state,school,major,majorstem,majorstem2,months,jobapply,joboffer2,intern2haveacceptedtheofferfromi,internofferhaveyouacceptedanoffe,jobaccept_salary,topindustry,industry_top_versus_intern,jobaccept_ind,internaccept,education_ind,healthcare_ind,food_ind,computerelectronics_ind,othermanufacturing_ind,retailtrade_ind,finance_ind,accounting_ind,engineering_ind,mangconsult_ind,otherprofservices_ind,recreation_ind,othersupportserv_ind,govt_ind,resource1,resource2,resource3,resource4,resource5,resource6,resource7,resource8,resource9,resource10,resource11,resource12,resource13,resource14,resource15,intern,interntype,interntype2,internduty1,internduty2,internduty3,internduty4,internduty5,internduty6,interndissatisfaction1,interndissatisfaction2,interndissatisfaction3,interndissatisfaction4,interndissatisfaction5,careercentervisit,careercentervisit2,careercenterservice1,careercenterservice2,careercenterservice3,careercenterservice4,careercenterservice5,careercenterservice6,careercenterservice7,careercenterservice8,careercenterservice9,gender,age,gpa,race,parents,jobaccept_count,mthresource1,mthresource2,mthresource3,mthresource4,mthresource5,mthresource6,mthresource7,mthresource8,mthresource9,mthresource10,mthresource11,mthresource12,mthresource13,mthresource14,mthresource15,nu_mthresource1,nu_mthresource2,nu_mthresource3,nu_mthresource4,nu_mthresource5,nu_mthresource6,nu_mthresource7,nu_mthresource8,nu_mthresource9,nu_mthresource10,nu_mthresource11,nu_mthresource12,nu_mthresource13,nu_mthresource14,nu_mthresource15,joboffer,offer,sex,internship,cgpa,firstgen,Age,duration,ethnicity,schoolid,n_sch,broadcategory,_merge,maj1,intensity,informal,informal_intense,fair,fair_intense,empsite,empsite_intense,socntwk,socntwk_intense,media,media_intense,ucs,ucs_intense,cart,major_stem,major_stem2,type_internship,type_internship2,percent_internduty1,percent_internduty2,percent_internduty3,percent_internduty4,percent_internduty5,percent_internduty6,nu_interndissatisfaction1,nu_interndissatisfaction2,nu_interndissatisfaction3,nu_interndissatisfaction4,nu_interndissatisfaction5,visit_careercenter,visit2_careercenter,nu_careercenterservice1,cs_careercenterservice1,nu_careercenterservice2,cs_careercenterservice2,nu_careercenterservice3,cs_careercenterservice3,nu_careercenterservice4,cs_careercenterservice4,nu_careercenterservice5,cs_careercenterservice5,nu_careercenterservice6,cs_careercenterservice6,stem_major
Texas,Texas Christian University,"Communication, Journalism, and Related Programs",NA,non-STEM,5,Yes,No,Yes,No,NA,Information,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Did not use,Somewhat useful,Very useful,Did not use,Did not use,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Did not use,"Yes, internship","Paid: Private, for-profit company",Paid,15,40,0,10,35,0,NA,NA,NA,NA,NA,Once / year,Yes,Not very helpful,Very helpful,Did not use,Somewhat helpful,Did not use,Did not use,Somewhat helpful,Did not use,Did not use,Male,20 to 24,3.75 - 3.99,White,Yes,3092,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Did not use,Somewhat useful,Very useful,Did not use,Did not use,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Did not use,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,No,0,Male,"Yes, internship",3.75 - 3.99,Yes,20 to 24,5,White,Texas Christian University,145,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",10,1,4,1,1,1,1,1,1,1,1,1,1,"Communication, Journalism and Related Programs",,non-STEM,"Paid: Private, for-profit company",Paid,15,40,0,10,35,0,0,0,0,0,0,Once / year,Yes,Not very helpful,1,Very helpful,1,Did not use,0,Somewhat helpful,1,Did not use,0,Did not use,0,non-STEM
Alabama,Auburn University,"Communication, Journalism, and Related Programs",NA,non-STEM,6,Yes,No,Yes,No,NA,Recreation & Hospitality (including arts and sports),Same,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Somewhat useful,Extremely useful,Extremely useful,Very useful,Very useful,Not at all useful,Extremely useful,Did not use,Did not use,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,"Yes, internship",Unpaid: Non-profit organization,Unpaid,0,60,10,10,10,10,NA,NA,NA,NA,NA,2-3 / semester,Yes,Did not use,Very helpful,Not very helpful,Somewhat helpful,Somewhat helpful,Did not use,Did not use,Very helpful,Somewhat helpful,Female,20 to 24,4,White,Yes,3092,Somewhat useful,Extremely useful,Extremely useful,Very useful,Very useful,Not at all useful,Extremely useful,Did not use,Did not use,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,No,0,Female,"Yes, internship",4,Yes,20 to 24,6,White,Auburn University,28,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",13,1,4,1,1,1,1,1,1,1,3,1,1,"Communication, Journalism and Related Programs",,non-STEM,Unpaid: Non-profit organization,Unpaid,0,60,10,10,10,10,0,0,0,0,0,2-3 / semester,Yes,Did not use,0,Very helpful,1,Not very helpful,1,Somewhat helpful,1,Somewhat helpful,1,Did not use,0,non-STEM
New Jersey,Rutgers University-New Brunswick,"Communication, Journalism, and Related Programs",NA,non-STEM,5,Yes,No,Yes,No,NA,Information,Same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Extremely useful,Extremely useful,Somewhat useful,Somewhat useful,Very useful,Extremely useful,Somewhat useful,Very useful,Did not use,Very useful,Extremely useful,Extremely useful,Extremely useful,Very useful,"Yes, internship","Unpaid: Private, for-profit company",Unpaid,20,20,25,10,20,5,NA,NA,NA,NA,NA,Never,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.0 - 3.24,Asian-American,Yes,3092,Very useful,Extremely useful,Extremely useful,Somewhat useful,Somewhat useful,Very useful,Extremely useful,Somewhat useful,Very useful,Did not use,Very useful,Extremely useful,Extremely useful,Extremely useful,Very useful,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,No,0,Female,"Yes, internship",3.0 - 3.24,Yes,20 to 24,5,Asian-American,Rutgers University-New Brunswick,110,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",14,1,5,1,2,1,1,1,1,1,3,0,0,"Communication, Journalism and Related Programs",,non-STEM,"Unpaid: Private, for-profit company",Unpaid,20,20,25,10,20,5,0,0,0,0,0,Never,No,,,,,,,,,,,,,non-STEM
Ohio,Kent State University at Kent,"Communication, Journalism, and Related Programs",NA,non-STEM,1,Yes,No,Yes,No,NA,Other Professional Services Consulting,Same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Very useful,Extremely useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Not at all useful,Very useful,Not at all useful,"Yes, internship","Paid: Private, for-profit company",Paid,0,10,10,25,40,15,NA,NA,NA,NA,NA,Once / year,Yes,Did not use,Did not use,Not at all helpful,Not at all helpful,Not at all helpful,Not at all helpful,Not at all helpful,Not at all helpful,Not at all helpful,Female,20 to 24,3.0 - 3.24,White,Yes,3092,Very useful,Extremely useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Not at all useful,Very useful,Not at all useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Female,"Yes, internship",3.0 - 3.24,Yes,20 to 24,1,White,Kent State University at Kent,68,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",15,1,5,1,2,1,1,1,1,1,3,1,1,"Communication, Journalism and Related Programs",,non-STEM,"Paid: Private, for-profit company",Paid,0,10,10,25,40,15,0,0,0,0,0,Once / year,Yes,Did not use,0,Did not use,0,Not at all helpful,1,Not at all helpful,1,Not at all helpful,1,Not at all helpful,1,non-STEM
New York,Buffalo State SUNY,"Communication, Journalism, and Related Programs",NA,non-STEM,1,Yes,No,Yes,No,NA,Recreation & Hospitality (including arts and sports),Same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Did not use,Extremely useful,Did not use,Did not use,Very useful,Very useful,Somewhat useful,Did not use,Did not use,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,"Yes, internship","Unpaid: Private, for-profit company",Unpaid,5,60,15,5,10,5,NA,NA,NA,NA,NA,Never,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,25 to 30,3.5 - 3.74,White,Yes,3092,Did not use,Extremely useful,Did not use,Did not use,Very useful,Very useful,Somewhat useful,Did not use,Did not use,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,No,0,Female,"Yes, internship",3.5 - 3.74,Yes,25 to 30,1,White,Buffalo State SUNY,38,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",9,1,4,0,0,1,1,1,1,1,3,0,0,"Communication, Journalism and Related Programs",,non-STEM,"Unpaid: Private, for-profit company",Unpaid,5,60,15,5,10,5,0,0,0,0,0,Never,No,,,,,,,,,,,,,non-STEM
Virginia,Bridgewater College,"Communication, Journalism, and Related Programs",NA,non-STEM,6,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0,,,,,,6,,Bridgewater College,36,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",,,,,,,,,,,,,,"Communication, Journalism and Related Programs",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
New York,Marist College,"Communication, Journalism, and Related Programs",NA,non-STEM,12,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not use,Somewhat useful,Did not use,Did not use,Did not use,Very useful,Extremely useful,Very useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,"Yes, internship","Unpaid: Private, for-profit company",Unpaid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Once / year,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.75 - 3.99,White,NA,3092,Did not use,Somewhat useful,Did not use,Did not use,Did not use,Very useful,Extremely useful,Very useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,No,0,Female,"Yes, internship",3.75 - 3.99,,20 to 24,12,White,Marist College,71,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",4,1,1,0,0,1,1,1,1,1,1,0,0,"Communication, Journalism and Related Programs",,non-STEM,"Unpaid: Private, for-profit company",Unpaid,,,,,,,0,0,0,0,0,Once / year,Yes,,,,,,,,,,,,,non-STEM
Kentucky,University of Kentucky,"Communication, Journalism, and Related Programs",NA,non-STEM,3,Yes,Yes,Yes,No,"Less than $20,000",Recreation & Hospitality (including arts and sports),Different,Recreation & Hospitality (including arts and sports),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Somewhat useful,Did not use,Did not use,Did not use,Extremely useful,Extremely useful,Extremely useful,Very useful,Did not use,"Yes, internship","Unpaid: Private, for-profit company",Unpaid,30,20,20,10,10,10,NA,NA,NA,NA,NA,Never,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,20 to 24,2.75 - 2.99,White,Yes,35,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Somewhat useful,Did not use,Did not use,Did not use,Extremely useful,Extremely useful,Extremely useful,Very useful,Did not use,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,Yes,1,Male,"Yes, internship",2.75 - 2.99,Yes,20 to 24,3,White,University of Kentucky,128,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",10,1,4,1,1,1,1,1,1,1,1,0,0,"Communication, Journalism and Related Programs",,non-STEM,"Unpaid: Private, for-profit company",Unpaid,30,20,20,10,10,10,0,0,0,0,0,Never,No,,,,,,,,,,,,,non-STEM
Arizona,Northern Arizona University,"Communication, Journalism, and Related Programs",NA,non-STEM,3,Yes,No,Yes,No,NA,Recreation & Hospitality (including arts and sports),Same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,Did not use,Extremely useful,Did not use,Did not use,Did not use,Did not use,Extremely useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,"Yes, internship","Unpaid: Private, for-profit company",Unpaid,20,30,10,0,10,30,NA,NA,NA,NA,NA,Never,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.0 - 3.24,White,No,3092,Did not use,Extremely useful,Did not use,Did not use,Did not use,Did not use,Extremely useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,No,0,Female,"Yes, internship",3.0 - 3.24,No,20 to 24,3,White,Northern Arizona University,78,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",2,0,0,0,0,1,1,1,1,0,0,0,0,"Communication, Journalism and Related Programs",,non-STEM,"Unpaid: Private, for-profit company",Unpaid,20,30,10,0,10,30,0,0,0,0,0,Never,No,,,,,,,,,,,,,non-STEM
California,University of Southern California,"Communication, Journalism, and Related Programs",NA,non-STEM,1,Yes,No,Yes,No,NA,Management Consulting,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,"Yes, internship","Paid: Private, for-profit company",Paid,20,30,20,5,20,5,NA,NA,NA,NA,NA,2-3 / semester,Yes,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Female,20 to 24,3.5 - 3.74,White,Yes,3092,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Female,"Yes, internship",3.5 - 3.74,Yes,20 to 24,1,White,University of Southern California,13,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",15,1,5,1,2,1,1,1,1,1,3,1,1,"Communication, Journalism and Related Programs",,non-STEM,"Paid: Private, for-profit company",Paid,20,30,20,5,20,5,0,0,0,0,0,2-3 / semester,Yes,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,non-STEM
Kentucky,University of Kentucky,"Communication, Journalism, and Related Programs",NA,non-STEM,3,Yes,No,Yes,No,NA,Management Consulting,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Not at all useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Somewhat useful,Very useful,Not at all useful,"Yes, internship",Unpaid: Non-profit organization,Unpaid,20,30,10,5,30,5,NA,NA,NA,NA,NA,4+ / semester,Yes,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Female,20 to 24,3.25 - 3.49,White,No,3092,Not at all useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Somewhat useful,Very useful,Not at all useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Female,"Yes, internship",3.25 - 3.49,No,20 to 24,3,White,University of Kentucky,128,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",15,1,5,1,2,1,1,1,1,1,3,1,1,"Communication, Journalism and Related Programs",,non-STEM,Unpaid: Non-profit organization,Unpaid,20,30,10,5,30,5,0,0,0,0,0,4+ / semester,Yes,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,non-STEM
Kentucky,University of Kentucky,"Communication, Journalism, and Related Programs",NA,non-STEM,3,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Somewhat useful,Extremely useful,Somewhat useful,Somewhat useful,Not at all useful,Extremely useful,Extremely useful,Extremely useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,25 to 30,2.5 - 2.74,White,No,3092,Somewhat useful,Extremely useful,Somewhat useful,Somewhat useful,Not at all useful,Extremely useful,Extremely useful,Extremely useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Male,No,2.5 - 2.74,No,25 to 30,3,White,University of Kentucky,128,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",15,1,5,1,2,1,1,1,1,1,3,1,1,"Communication, Journalism and Related Programs",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
Pennsylvania,Point Park University,"Communication, Journalism, and Related Programs",NA,non-STEM,4,Yes,No,Yes,No,NA,Other Support Services,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Somewhat useful,Extremely useful,Did not use,Did not use,Did not use,Did not use,Extremely useful,Very useful,Did not use,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,"Yes, internship","Paid: Private, for-profit company",Paid,15,20,20,15,20,10,NA,NA,NA,NA,NA,Once / year,Yes,Did not use,Somewhat helpful,Somewhat helpful,Somewhat helpful,Did not use,Did not use,Somewhat helpful,Did not use,Did not use,Female,20 to 24,3.75 - 3.99,White,No,3092,Somewhat useful,Extremely useful,Did not use,Did not use,Did not use,Did not use,Extremely useful,Very useful,Did not use,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,No,0,Female,"Yes, internship",3.75 - 3.99,No,20 to 24,4,White,Point Park University,16,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",8,1,5,1,1,1,1,1,1,0,0,0,0,"Communication, Journalism and Related Programs",,non-STEM,"Paid: Private, for-profit company",Paid,15,20,20,15,20,10,0,0,0,0,0,Once / year,Yes,Did not use,0,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Did not use,0,Did not use,0,non-STEM
Ohio,Kent State University at Ashtabula,"Communication, Journalism, and Related Programs",NA,non-STEM,0,Yes,Yes,Yes,No,"$40,001-$45,000",Education,Different,Healthcare,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,"Yes, internship",Unpaid: Non-profit organization,Unpaid,20,60,5,5,2,8,NA,NA,NA,NA,NA,Once / year,Yes,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Female,Over 30,3.5 - 3.74,White,No,69,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,1,Female,"Yes, internship",3.5 - 3.74,No,Over 30,0,White,Kent State University at Ashtabula,1,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",15,1,5,1,2,1,1,1,1,1,3,1,1,"Communication, Journalism and Related Programs",,non-STEM,Unpaid: Non-profit organization,Unpaid,20,60,5,5,2,8,0,0,0,0,0,Once / year,Yes,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,non-STEM
Ohio,Kent State University at Kent,"Communication, Journalism, and Related Programs",NA,non-STEM,3,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,Somewhat useful,Very useful,Somewhat useful,Did not use,Did not use,Did not use,Somewhat useful,Did not use,Did not use,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Did not use,"Yes, internship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3092,Somewhat useful,Very useful,Somewhat useful,Did not use,Did not use,Did not use,Somewhat useful,Did not use,Did not use,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Did not use,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,No,0,,"Yes, internship",,,,3,,Kent State University at Kent,68,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",7,1,3,1,1,1,1,1,1,0,0,0,0,"Communication, Journalism and Related Programs",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
Kentucky,University of Kentucky,"Communication, Journalism, and Related Programs",NA,non-STEM,3,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,,,,,,3,,University of Kentucky,128,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",,,,,,,,,,,,,,"Communication, Journalism and Related Programs",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
Kentucky,University of Kentucky,"Communication, Journalism, and Related Programs",NA,non-STEM,8,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,,,,,,8,,University of Kentucky,128,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",,,,,,,,,,,,,,"Communication, Journalism and Related Programs",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
Florida,Florida Atlantic University,"Communication, Journalism, and Related Programs",NA,non-STEM,3,Yes,No,No,NA,NA,Computer & Electronics Manufacturing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not use,Very useful,Did not use,Did not use,Did not use,Very useful,Did not use,Did not use,Did not use,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.25 - 3.49,African-American,Yes,3092,Did not use,Very useful,Did not use,Did not use,Did not use,Very useful,Did not use,Did not use,Did not use,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,No,0,Female,No,3.25 - 3.49,Yes,20 to 24,3,African-American,Florida Atlantic University,78,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",8,1,4,0,0,1,1,0,0,1,2,1,1,"Communication, Journalism and Related Programs",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
New York,Marist College,"Communication, Journalism, and Related Programs",NA,non-STEM,4,Yes,No,Yes,No,NA,Other Professional Services Consulting,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Extremely useful,Extremely useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Extremely useful,Somewhat useful,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,"Yes, internship",Unpaid: Non-profit organization,Unpaid,5,25,15,25,25,5,NA,NA,NA,NA,NA,2-3 / semester,Yes,Did not use,Very helpful,Did not use,Somewhat helpful,Somewhat helpful,Did not use,Somewhat helpful,Somewhat helpful,Somewhat helpful,Female,20 to 24,3.75 - 3.99,White,Yes,3092,Extremely useful,Extremely useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Extremely useful,Somewhat useful,Did not use,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,No,0,Female,"Yes, internship",3.75 - 3.99,Yes,20 to 24,4,White,Marist College,71,"Communication, Journalism and Related Programs",matched (3),"Communication, Journalism, and Related Programs",13,1,5,1,1,1,1,1,1,1,2,1,1,"Communication, Journalism and Related Programs",,non-STEM,Unpaid: Non-profit organization,Unpaid,5,25,15,25,25,5,0,0,0,0,0,2-3 / semester,Yes,Did not use,0,Very helpful,1,Did not use,0,Somewhat helpful,1,Somewhat helpful,1,Did not use,0,non-STEM
